anaconda mortgage	1
ancient history	9
and all	9
and all this	7
and change	8
and counting	8
and crap	6
and finally	10
and his mother	6
and how	8
and I don't mean maybe	7
and shit	6
and so forth	8
and so on	10
and such	6
and the like	8
and then some	7
and whatnot	6
angel's advocate	3
angle for farthings	1
another day, another dollar	7
another nail in someone's coffin	7
another string to one's bow	5
answer on a postcard	4
answer someone's prayers	6
answer the call of nature	7
answer to someone's prayers	6
any more for any more	4
any nook or cranny	5
any old	7
any old nook or cranny	5
any old thing	6
any port in a storm	7
any time now	8
any time soon	9
anybody who is anybody	6
anyone's guess	8
anything goes	7
ape leader	2
apothecary's Latin	3
appeal from Philip drunk to Philip sober	1
appetite comes with eating	5
apple of someone's eye	7
apple polisher	5
apple-polish	4
apples and oranges	8
apply oneself	7
apron string	5
apron-string hold	4
arch doxy	1
are you deaf	9
are your ears burning	6
arm candy	8
arm to the teeth	6
arm up	5
arm's length	9
armchair quarterback	8
army volunteer	10
around Robin Hood's barn	3
around the clock	10
around the corner	10
around the Horn	4
arrive at	10
arrow in the quiver	6
arse end of nowhere	7
arse over tip	4
arse over tit	6
arsy varsy	2
arsy versy	2
artful dodger	6
as a rule	10
as a whole	10
as all get-out	3
as best one can	8
as clever as a cartload of monkeys	2
as ever	7
as ever trod shoe leather	1
as ever trod shoe-leather	1
as far as one knows	6
as I was saying	8
as if	10
as if someone owns the place	5
as if there were no tomorrow	7
as in	9
as is	9
as it happens	8
as long as	10
as luck may have it	4
as luck would have it	8
as of	10
as of late	7
as often as not	6
as soon as	10
as the crow flies	8
as the day is long	7
as the gull flies	2
as the next girl	5
as the next guy	5
as the wind blows	6
as they come	8
as well	10
as yet	9
as you go	7
as you know	10
ask after	6
ask around	9
ask for it	9
ask for the moon	7
ask my arse	4
ask round	6
asking for a friend	7
asleep at the switch	6
asphalt jungle	4
ass over teakettle	7
ass-backwards	9
assault and battery	8
assume room temperature	6
assume the mantle	5
assume the position	8
at a canter	5
at a draught	3
at a glance	10
at a loss	10
at a loss for words	10
at a low ebb	6
at a moment's notice	9
at a pinch	5
at a stand	4
at all	10
at all hours	9
at any given moment	9
at arm's length	9
at bay	7
at bottom	4
at cross-purposes	6
at daggers drawn	5
at death's door	8
at each other's throats	7
at first	10
at first blush	6
at full tilt	7
at home	10
at large	9
at last	10
at latter Lammas	2
at long last	9
at loose ends	7
at odds	8
at one's feet	7
at one's fingertips	8
at pains	6
at peace	10
at peace with	8
at places	2
at rack and manger	2
at rest	8
at sea	7
at sixes and sevens	5
at someone's disposal	9
at someone's door	7
at stake	9
at that	6
at the best of times	6
at the coal face	4
at the disposal of	8
at the door of	7
at the drop of a hat	9
at the end of one's tether	7
at the end of the day	10
at the expense of	8
at the feet of	6
at the helm	7
at the high port	1
at the last minute	10
at the mercy of	9
at the ready	8
at the receiving end	7
at the top of one's lungs	8
at the top of one's voice	9
at the very least	10
at the very most	9
at the wheel	10
at this point in time	7
at times	10
at variance	6
at will	8
atomic cocktail	2
atta girl	7
attaboy	7
attagal	1
attagirl	7
attakid	3
attention whore	8
Attic salt	2
Augean stables	3
auld lang syne	9
autem cackler	1
autem dipper	1
autem diver	1
autem mort	1
autumn romance	5
avant la lettre	4
average bear	7
average joe	9
average up	6
away game	8
away with the fairies	7
aye aye, sir	10
babe in arms	9
babe in the woods	8
babe magnet	7
babies in the eyes	3
baby and bathwater	7
baby elephant in the room	2
baby up	3
babysitter test	4
back at you	8
back down	9
back forty	5
back gammon player	1
back in	8
back in the day	9
back in the game	9
back into	7
back of one's hand	6
back off	9
back office	7
back to square one	10
back to the drawing board	10
back to the wall	8
back up	10
back up the truck	6
back-burner	8
back-cloth star	1
back-of-the-envelope	7
back-patty	1
back-pocket	6
back-to-back-to-back	5
backhanded compliment	8
backpedal	9
backwater	6
bacon-faced	1
bacon-fed	2
bad actor	7
bad apple	10
bad blood	9
bad books	5
bad business	8
bad company	9
bad egg	8
bad hair day	10
bad iron	2
bad joke	10
bad news	10
bad old days	9
bad penny	7
bad taste in one's mouth	8
bad trot	2
bad word	9
badge bunny	3
badge of honor	8
bag of bones	6
bag of tricks	9
bail out	10
bake up	5
baker's dozen	7
baker's half dozen	4
balance out	9
balance the books	8
balancing act	9
bale up	2
ball hog	6
ball of fire	8
ball-breaker	6
ballistic podiatry	1
balloon goes up	5
balloon knot	7
ballpark estimate	9
ballpark figure	9
balls of steel	7
balls to the wall	7
balls-out	6
balum rancum	1
banana nose	2
banana republic	8
Banbury story of a cock and a bull	1
band together	8
bandwagon fan	6
bane of someone's existence	9
bane of someone's life	9
bang a uey	4
bang away	7
bang down the door	7
bang for the buck	9
bang one's head against a brick wall	8
bang out	6
bang some heads together	7
bang straw	2
bang to rights	5
bang up	7
bank night	3
banker's dozen	6
bankers' hours	8
bankrupt cart	1
banyan day	2
bar none	9
bar sinister	4
bar star	5
barber's sign	3
bare one's soul	8
bare one's teeth	9
bare poles	6
bargain basement	8
barhop	7
bark up the wrong tree	9
barn find	5
barnburner	6
barrel of laughs	8
barrel of monkeys	7
base over apex	2
basement battler	3
bash into shape	7
bash the bishop	4
bask in the sunshine	8
basket house	3
bass-ackwards	6
bastardly gullion	1
bat a thousand	7
bat an eyelid	8
bat five hundred	5
bat for the other team	7
bat of an eye	9
bat one's eyes	7
bat the breeze	4
Bat-Signal	8
batten down the hatches	6
bawl one's eyes out	8
bawl out	7
be a hundred years too early	5
be a man	9
be around	10
be at the plague	2
be down with	7
be in and out	8
be in for	8
be in luck	9
be it as it may	6
be left at the post	4
be left holding the baby	7
be like	10
be mother	3
be my guest	10
be on to	7
be one's own worst enemy	9
be oneself	10
be someone's to lose	6
be still my heart	8
be supposed to	10
be taken ill	9
be that as it may	7
be there	10
be-all and end-all	5
bean counter	6
bear a hand	4
bear away the bell	2
bear fruit	9
bear in mind	10
bear oneself	5
bear the brunt	7
bear up	8
bear with	9
beard the lion in his den	3
beast with two backs	3
beat a dead horse	9
beat around the bush	10
beat as one	7
beat Banaghan	1
beat feet	6
beat it	10
beat off	8
beat off with a stick	2
beat one's brain	4
beat one's swords into ploughshares	5
beat one's swords into plowshares	5
beat someone round the ears	6
beat someone's brains out	8
beat the bishop	4
beat the bushes	6
beat the clock	9
beat the cock	2
beat the daylights out of	8
beat the dust	5
beat the pants off	7
beat the poop out of	5
beat the shit out of	8
beat the stuffing out of	6
beat with the ugly stick	4
beats me	9
beautiful people	9
beauty queen	10
beauty sleep	10
beaver away	6
become of	7
become one flesh	5
bed blocker	2
bed in	5
bed of roses	8
beddy-bye	6
bee in one's bonnet	5
beef to the hoof	1
been there, done that	10
been there, done that, bought the T-shirt	8
been there, done that, got the T-shirt	8
been to the rodeo	6
beer and skittles	3
beer goggles	7
beer muscles	5
before it was cool	8
before someone's time	7
before you can say knife	6
beg off	6
beg to differ	8
beggars can't be choosers	9
behind bars	10
behind closed doors	9
behind its time	5
behind someone's back	10
behind the bit	4
behind the counter	8
behind the eight-ball	7
behind the scenes	9
behind the times	9
behind the wheel	9
behind time	8
belemnite battlefield	1
believe it or not	10
believe one's ears	7
believe one's eyes	9
believe you me	6
bell out	2
bell the cat	5
bells and whistles	8
bellwether state	4
belly up	7
belly up to the bar	8
below par	7
below the belt	9
below the salt	3
bench jockey	5
bend one's elbow	6
bend over backwards	9
bend someone's ear	8
bend someone's will	6
bend the brain	3
bend the knee	8
bend the truth	9
bend to one's will	7
bend to someone's will	7
beneath the surface	9
benevolent overlord	5
bent on	8
bent on a splice	2
beside oneself	7
beside the point	9
best bet	9
best laid plans	9
best of both worlds	10
best of the bunch	8
best pleased	6
best regards	10
best thing since sliced bread	10
best thing since sliced pan	1
best-kept secret	7
bet one's boots	4
bet one's bottom dollar	7
bet the farm	8
bet the house	9
bet the ranch	7
better angels	6
better for it	8
better nature	7
better place	9
better than sex	8
between a rock and a hard place	10
between Scylla and Charybdis	4
between the devil and the deep blue sea	8
between the hammer and the anvil	6
between the jigs and the reels	2
between the pipes	3
between you, me, and the bedpost	5
betwixt and between	6
beyond one's pay grade	7
beyond one's years	7
beyond the black stump	2
beyond the pale	5
bide one's time	6
big boy	8
big boys	9
big break	9
big bucks	10
big cheese	7
big deal	10
big end of town	4
big fat	8
big fish	9
big fish in a small pond	8
big girl	8
big gun	7
big head	9
big kahuna	6
big mouth	10
big name	9
big ol'	7
big old	8
big ole	6
big picture	10
big screen	10
big shop	9
big shot	10
big sleep	7
big spender	9
big talk	9
big tamale	5
big tent	8
big wheel	8
bigger fish to fry	9
bill of goods	7
bio queen	2
bird in the bosom	3
bird of one's own brain	1
bird's-eye view	9
birds and bees	10
birds of a feather	7
birds of a feather flock together	10
birth tourism	3
birthday suit	10
bit by a barn mouse	1
bitch goddess	2
bite me	8
bite my ass	7
bite my shiny metal ass	5
bite of the cherry	4
bite of the reality sandwich	2
bite off	6
bite off more than one can chew	10
bite one's lip	9
bite one's nails	10
bite one's tongue	9
bite someone's hand off	6
bite someone's head off	8
bite the big one	5
bite the biscuit	1
bite the bullet	9
bite the curb	2
bite the dust	8
bite the hand that feeds one	10
bite to eat	10
bitter end	8
black and white	10
black babies	1
black gold	7
black mark	6
black over Bill's mother's	1
black rider	3
black sheep	9
black-and-white	10
blame Canada	4
blame game	8
blank out	7
blanket term	6
blare out	5
blast from the past	9
blast off	8
blast out	6
blaze a trail	7
blaze away	5
bleed red ink	6
bleeding edge	5
bleeding-edge	5
bless someone with	7
bless you	10
blessed event	7
blimp out	2
blind date	9
blind leading the blind	8
blind with science	4
blink of an eye	9
blink-and-you-miss-it	7
block out	7
blocking and tackling	6
blood and guts	8
blood in the water	7
blood is thicker than water	9
blood, sweat and tears	9
bloom is off the rose	7
blossom out	6
blot on the escutcheon	2
blot one's copy book	4
blow	8
blow a hole through	6
blow a kiss	10
blow away	8
blow chunks	7
blow hot and cold	7
blow me	8
blow me down	5
blow off	9
blow off steam	9
blow one's chance	8
blow one's load	7
blow one's own trumpet	7
blow one's wad	6
blow out of proportion	8
blow out of proportions	2
blow out of the water	6
blow over	9
blow smoke	7
blow someone's brains out	10
blow someone's cover	5
blow someone's mind	9
blow the cobwebs away	6
blow the doors off	7
blow the lid off	8
blow the whistle	9
blow this pop stand	3
blow this popsicle stand	4
blow this Popsicle stand	4
blow to kingdom come	6
blow town	5
blow up in one's face	9
blue chamber	1
blue devils	4
blue moon	8
blue note	4
blue state	7
blue wall of silence	3
blue-ball	5
blue-eyed	8
blue-eyed boy	7
blue-sky thinking	6
blur the line	7
blurt out	8
Bob's your uncle	6
body blow	7
body English	5
bog off	4
bogged down	7
boil over	8
boil up	5
boiling frog	6
boiling hot	9
boiling mad	8
boiling point	8
boldly go where no man has gone before	9
bolt bucket	2
bolt to the bran	1
bomb out	7
bone dry	8
bone hard	6
bone in her teeth	3
bone in the throat	5
bone of contention	7
bone-crunching	6
bone-deep	6
bone-dry	8
bone-idle	4
bone-shaking	5
booby prize	7
boogie on down	6
book burning	8
book dumping	3
book in	7
boot camp	8
booze can	2
bop the bishop	3
bored out of one's mind	9
bored shitless	7
borganism	1
born and bred	8
born in a barn	6
born with a silver spoon in one's mouth	9
borrow trouble	5
borrowed time	7
bottle away	4
bottle up	8
bottom fall out	6
bottom fishing	3
bottom line	10
bottom of the line	7
bottom of the ninth	6
bottom out	7
bottom the house	2
bounce back	8
bounce off	7
bounce off the walls	6
bouquets and brickbats	3
bow and scrape	4
bow down	7
bow down before the porcelain god	2
bow out	6
bow-legged wi' brass	1
bowl a googly	2
bowl of cherries	6
bowl over	5
bowl up	3
box clever	4
box ears	2
box oneself into a corner	7
box seat	5
box someone's ears	6
box the compass	3
boy howdy	4
boy in the boat	1
boy toy	7
boys and girls	10
boys and their toys	9
brace of shakes	2
bragging rights	10
brain bucket	4
brain candy	6
brain surgeon	8
brain surgery	9
branch off	8
branch out	10
brass ceiling	5
brass farthing	3
brass monkey	7
brass monkeys	6
brass neck	7
brass-neck	6
brass-necked	5
brassed off	8
brave out	2
brazen out	3
bread and butter	10
bread and circuses	5
bread of life	6
break a leg	9
break a sweat	10
break cover	8
break down	10
break even	10
break gates	2
break in	9
break into	10
break into a run	10
break it to	7
break one's back	9
break one's duck	4
break one's lance	3
break one's neck	10
break out	10
break ranks	6
break someone's back	7
break someone's heart	10
break the back of	8
break the bank	9
break the buck	3
break the cycle	9
break the deadlock	8
break the fourth wall	6
break the ice	10
break the Internet	7
break the Sabbath	5
break the seal	8
break the story	7
break the wheel	5
break up	10
break wind	9
breath of fresh air	9
breathe a sigh of relief	10
breathe a word	8
breed in the bone	1
brick in one's hat	1
bright-line rule	2
bring a knife to a gunfight	4
bred-in-the-bone	5
brick in	5
bridge-builder	6
bright line	6
bright young thing	6
bring down the curtain	7
breathe down someone's neck	8
breathe easy	8
bridge the gap	8
bright and early	8
bright lights	8
bright side	9
bright-eyed and bushy-tailed	9
bring a lump to someone's throat	9
bring about	10
bring down the hammer	10
bring down the house	8
bring forward	6
bring home	9
bring home the bacon	8
bring it weak	2
bring on	7
bring one's arse to an anchor	1
bring one's own hide to market	2
bring out in a rash	4
bring owls to Athens	1
bring round	5
bring someone to their knees	7
bring to bear	5
bring to heel	6
bring to justice	9
bring to light	8
bring to nought	3
bring to the hammer	2
bring to the table	7
bring together	8
bring up the rear	9
broad and shallow	6
broad in the beam	6
broad shoulders	8
broad strokes	7
broad-beamed	5
broad-brush	6
broaden someone's horizons	9
broken record	9
broken vessel	4
Bronx cheer	6
brown bag	7
brown bread	6
brown noser	8
brown power	5
brown study	4
brown thumb	7
browned off	6
Brownian motion	3
brownie point	9
brush aside	8
brush by	6
brush down	4
brush off	8
brush up	9
bubble over	7
buck fever	3
buck for	5
buck the trend	7
buck up	8
buck up one's ideas	5
buck-passing	6
bucket down	2
bucket list	10
bucket of bolts	5
bucket of rust	4
bucket of syrup	4
buckle down	9
buckle to	6
buckle up	10
Buckley's and none	2
Buckley's chance	4
buff out	6
buff the muffin	1
buff up	7
bug off	8
bug storm	2
bugger off	7
Buggins's turn	3
build a better mousetrap	9
build a case	10
build bridges	10
build castles in the air	8
build character	9
build on sand	8
build the plane while flying it	7
build up	10
built different	5
built like a brick outhouse	6
built like a brick shipyard	4
built like a brick shithouse	3
bulk billing	5
bull session	6
bulletproof	9
bum rap	7
bum rush	2
bum steer	4
bum's rush	3
Bumfuck, Egypt	2
bump and grind	6
bump in the road	8
bump into	10
bump off	7
bump up	8
bun fight	2
bundle of energy	9
bundle of joy	9
bundle of laughs	7
bundle of nerves	8
bundle off	6
bunker	8
bunny hop	7
bunny hug	3
buoy up	5
buried treasure	9
burn a hole in someone's pocket	7
burn bread	5
burn one's bridges	8
burn one's fingers	7
burn out	9
burn rubber	8
burn someone's ears	6
burn that bridge when one comes to it	4
burn the candle at both ends	8
burn the midnight oil	9
burn the roof	2
burn time	6
burning question	8
burr in one's saddle	4
burst in	7
burst into tears	10
burst out laughing	10
burst someone's bubble	8
bury one's head in the sand	9
bury the hatchet	9
bury the lead	6
bury the lede	5
bush league	7
bush telegraph	5
business as usual	10
business end	8
business girl	6
busman's holiday	6
bust a cap	5
bust a move	8
bust a nut	7
bust ass	8
bust chops	6
bust on	7
bust one's balls	7
bust one's chops	5
bust the dust	2
busted flush	4
busy as a bee	10
busy as a nailer	3
busy work	8
but good	7
but seriously folks	9
but then	10
butcher's bill	6
butt heads	9
butt in	10
butt up	6
butter face	5
butter one's bread on both sides	3
butter wouldn't melt in someone's mouth	7
butterfingers	9
butterfly upon a wheel	1
button nose	8
button one's lip	6
button-down	8
buttoned-down	7
buy a ticket to	9
buy into	9
buy out	8
buy straw hats in winter	6
buy the farm	7
buy time	9
buy to let	7
buy up	8
buzz off	9
buzzer-beater	7
by a hair's breadth	8
by a landslide	9
by a long shot	9
by a long way	9
by all accounts	8
by and large	9
by any means	9
by any stretch of the imagination	8
by far	10
by guess or by gosh	5
by halves	7
by hand	9
by heart	10
by hook or by crook	8
by mistake	10
by no means	9
by no stretch	7
by no stretch of imagination	7
by no stretch of the imagination	8
by one's lights	6
by one's own hand	8
by right	8
by the book	10
by the eye	8
by the Grace of Allah	7
by the Grace of God	9
by the numbers	8
by the same token	7
by the skin of one's teeth	8
by the way	10
by trade	7
by vice of	2
by virtue of	6
by-the-book	8
by-the-numbers	7
cake crumbs	3
cake walk	6
cakes and ale	4
cakewalk	6
call a lid	1
call a spade a spade	9
call an audible	5
call it a day	9
call it a night	9
call off the dogs	7
call on	8
call out	8
call roll	7
call someone every name in the book	7
call someone everything but a child of God	5
call someone's bluff	9
call someone's number	7
call to account	6
call to the bar	3
call up	10
callout	6
calm before the storm	9
camel through the eye of a needle	8
camel's nose	4
camp out	9
can it	7
can of corn	2
can of worms	8
can't carry a tune in a bucket	7
can't get enough	9
can't help	10
can't stand	10
can't stand the sight of	9
can't wait	10
canary fit	2
canary in a coal mine	6
candle in the wind	7
cannot make it	10
cap in hand	5
cap it all off	8
cap over the windmill	1
captain's pick	7
card of ten	1
care a button	3
care a jackstraw	2
care a whit	5
care package	9
carriage trade	4
carried away	9
carrot and stick	8
carry a torch	7
carry a tune	9
carry coals to Newcastle	4
carry forward	8
carry off	6
carry on	10
carry one's weight	8
carry oneself	7
carry out	10
carry over	9
carry someone's water	4
carry the ball	6
carry the can	5
carry the mail	7
carry the message to Garcia	3
carry through	8
carry water for	4
carve out	7
carved in stone	9
case the joint	5
cash in one's chips	6
cash on the barrelhead	4
cash up	6
cashed up	3
cast a chill	2
cast a shadow	7
cast aside	8
cast aspersions	5
cast in concrete	6
cast in someone's teeth	3
cast one's bread upon the waters	4
cast one's mind back	7
cast one's net wide	6
cast one's vote	9
cast over	2
cast pearls before swine	5
cast the first stone	8
cast up one's accounts	3
castle in the air	6
cat and dog life	5
cat got someone's tongue	9
cat in the meal-tub	2
cat in the sack	3
cat piss	2
cat that ate the canary	8
cat-and-mouse	9
cat-foot	2
cat-footed	3
cat's cradle	6
cat's meow	7
catbird seat	5
catch a break	9
catch a cold	10
catch a fade	3
catch a packet	2
catch a wave	7
catch air	6
catch as catch can	5
catch big air	6
catch dust	3
catch fire	9
catch flies	5
catch hands	4
catch heat	4
catch hell	7
catch it	8
catch napping	6
catch of the day	9
catch on	9
catch one's breath	10
catch one's death	6
catch sight of	9
catch some rays	8
catch some z's	6
catch someone napping	7
catch someone's drift	8
catch someone's eye	9
catch the eye	9
catch the sun	7
Catch-22	9
catch-as-catch-can	5
cattle call	6
caucus race	3
caught up	8
caught with one's pants down	9
cause a stir	8
cave-in	7
caviar to the general	3
cede the field	4
center field	6
chalk and cheese	5
chalk off	4
chalk something up to experience	7
chalk up to	7
champ at the bit	5
champagne taste on a beer budget	8
chance upon	6
chance'd be a fine thing	2
chances are	9
change hands	7
change horses in midstream	6
change of clothes	10
change of heart	10
change of life	6
change of pace	9
change of scenery	9
change of tack	7
change one's battery	2
change one's mind	10
change one's tune	8
change over	7
change someone's mind	10
change the channel	9
change the game	8
character assassination	8
charge down	5
charge up	8
charity mugger	3
charley horse	6
charm offensive	5
charmed life	7
chase a rainbow	6
chase after	8
chase off	8
chase one's tail	7
chase rainbows	6
chase tail	5
chase the dragon	4
chat up	7
cheap thrill	6
cheap-arse Tuesday	2
cheaper by the dozen	8
cheat on	9
cheat sheet	9
check and balance	8
check is in the mail	9
check through	7
cheeky monkey	7
cheer up	10
cheesed off	6
cherry-pick	7
chess piece	5
chesterfield rugby	1
chew off	4
chew on	8
chew the cud	6
chew the meat and spit out the bones	5
chew the scenery	7
chew up	8
chicken feed	9
chicken out	10
chicken scratch	8
chickenization	2
chickenize	2
child's play	10
chill to the bone	9
chilly climate	9
chime in	10
China syndrome	6
Chinaman on one's back	3
Chinaman's chance	4
Chinese compliment	5
Chinese green	3
Chinese overtime	1
Chinese puzzle	6
Chinese Wall	4
Chinese water torture	7
chink in the armor	8
chink up	2
chip away	9
chip in	10
chip off the old block	10
chip on one's shoulder	9
chip shot	7
chip up	3
chirk up	1
chocolate teapot	3
choke off	6
choke the chicken	5
chomp at the bit	2
choose one's fighter	1
choose up	4
choose violence	2
chop down	4
chopped liver	6
Christmas came early	9
Christmas graduate	2
Christmas tree bill	3
chrome dome	7
chrome horn	4
chum in the water	5
chum up	6
chump change	8
chump-change	8
circle back	9
circle the drain	7
circle the wagons	8
circuit slugger	2
circular file	7
circular firing squad	6
civil tongue	5
claim to fame	10
clamp down on	9
clash of the ash	1
clean-timbered	1
clip it	2
clear one's lines	3
clap eyes on	5
clean someone's clock	5
clip someone's wings	6
clean break	7
clean money	7
climb the walls	7
clear blue water	7
clear cut	8
climb down	9
class clown	10
clean hands	10
clean house	10
clean up	10
clean up one's act	10
clear the air	10
click into gear	10
clitlicker	1
clock in	8
clock is ticking	9
clog up	7
close enough for government work	6
close in on	8
close on the heels of	7
close one eye	6
close one's eyes	9
close one's eyes and think of England	5
close one's mind	7
close season	5
close the book on	7
close the books	7
close the face	2
close the stable door after the horse has bolted	8
close to home	8
close, but no cigar	7
closed book	6
cloud nine	10
clout list	2
clue stick	4
clutch artist	5
coals to Newcastle	6
cobbler, keep to your last	3
cock a snook	4
cock cheese	1
cock in the henhouse	6
cock of the roost	7
cock of the walk	6
cock off	5
cock one's toes	2
cock-and-bull story	8
coffee talk	6
coil up	7
coke dick	3
cold comfort	8
cold day in Hell	9
cold fish	7
cold hand	5
cold hard cash	9
cold shoulder	10
cold snap	9
cold treatment	7
cold turkey	8
collect dust	8
collect one's thoughts	10
come a cropper	5
come a long way	9
come across	9
come again	8
come alive	8
come along	9
come around	9
come back from the dead	7
come clean	9
come down	9
come down in stair rods	3
come down to	8
come down to earth	8
come down to us	2
come first	9
come forward	9
come from a Cracker Jack box	3
come from a good place	7
come full circle	8
come hell or high water	8
come home by weeping cross	1
come home to roost	6
come in from the cold	7
come in handy	10
come into being	7
come into one's own	7
come into the world	10
come knocking	8
come of age	9
come on	10
come on over	10
come on strong	8
come online	9
come out	9
come out in the wash	6
come out of one's shell	8
come out of the broom closet	3
come out of the closet	9
come out of the woodwork	7
come out swinging	7
come right	5
come the acid	2
come the old soldier	3
come thick and fast	7
come through	9
come to	9
come to a close	8
come to a head	8
come to a sticky end	6
come to an end	9
come to blows	7
come to grief	5
come to grips with	7
come to Jesus	5
come to life	9
come to light	9
come to mention it	7
come to mind	10
come to nothing	8
come to nought	6
come to one's senses	9
come to oneself	7
come to papa	6
come to power	10
come to someone's aid	9
come to someone's rescue	10
come to terms	10
come to terms with	10
come to think of it	9
come to time	5
come unhinged	7
come unstuck	7
come up	10
come up and bite	2
come up roses	6
come up with	10
come up with snake eyes	4
come up with the goods	8
come what may	8
come with the territory	9
come-to-Jesus	5
comedy gold	9
comedy of errors	7
comfort girl	3
comfort woman	4
comfort zone	10
comfortable in one's own skin	9
comfortably off	8
coming into the world	7
command performance	6
common ground	10
common or garden variety	7
common purse	5
common run	2
common touch	6
common-and-garden	4
company town	7
concrete jungle	9
confront one's demons	9
connect the dots	10
connect up	5
conscience money	3
contain multitudes	2
cook someone's goose	6
cook the books	8
cook up a storm	7
cookie-cutterish	4
cooking show	10
cooking with gas	9
cool cat	8
cool head	10
cool one's heels	7
coon's age	1
cop on	4
cop oneself on	2
cop out	8
copper-bottomed	5
corner the market	9
corporate ladder	10
corporate welfare bum	6
corporation pop	3
cost the earth	7
cotton to	6
cotton-picking	5
couch potato	10
cough up	9
could not get elected dogcatcher	8
couldn't be more different	10
couldn't care less	10
couldn't carry a note in a bucket	7
couldn't happen to a nicer	9
couldn't organise a piss-up in a brewery	8
couldn't stop a pig in a passage	6
count noses	3
count one's blessings	9
count sheep	10
country mile	7
courage of one's convictions	8
court of public opinion	6
covenant of salt	2
cover one's bases	8
cover one's feet	4
cover up	10
cow juice	1
cowboy shower	3
cowboy up	7
cowgirl position	5
crab mentality	4
crack a crust	1
crack a fat	1
crack a smile	9
crack down	9
crack of dawn	10
crack on	6
crack through	4
crack up	9
cradle robber	8
cradle snatcher	7
cradle-to-grave	6
cramp someone's style	8
crank one's hog	2
crank out	6
crank the handle	4
crank up	7
crap up	5
crash course	9
crash dive	5
crawl before one walks	10
crawl over each other	7
crawl with	6
cream in one's coffee	5
cream in one's jeans	3
cream of the crop	10
criss-cross applesauce	1
cream the crop	2
crony capitalism	3
creature feature	4
cross someone's palm	5
creature comfort	6
creature of the night	7
crème de la crème	8
creature of habit	9
crocodile tear	10
crop up	10
cross my heart	10
cross my heart and hope to die	10
cross off	10
cross out	10
cross paths	10
cross someone's path	10
cross swords	10
cross that bridge when one comes to it	10
cross the aisle	10
cross the Bosphorus	2
cross the Forth	2
cross the line	9
cross the Rhine	3
cross the Rubicon	6
cross the Thames	2
cross the Tiber	2
cross to bear	2
cross to take up	2
cross-purpose	5
crowd in on	6
crowd sail	3
cruel mistress	5
crunch numbers	8
crush it	7
